user_id,age,gender,height_cm,weight_kg,fitness_level,goal,workout_frequency,preferred_type,equipment_access,preferred_bodypart,time_per_session
user_1,47,Other,193,53,Beginner,Improve flexibility,3,HIIT High Intensity Interval Training,"Dumbbell, Machine",Full body,28
user_2,28,Female,167,63,Intermediate,Prepare for event,3,Powerlifting,"Home gym, Cable",Biceps,74
user_3,28,Female,177,74,Intermediate,Injury recovery,1,Cardio running,"Minimal equipment, Home gym, Cable",Quads,68
user_4,44,Male,168,68,Expert,Gain mass,2,Olympic weightlifting,"Minimal equipment, Full gym, Barbell",Chest,25
user_5,51,Other,170,66,Expert,Improve flexibility,4,Circuit training,"Minimal equipment, Bodyweight, Barbell",Upper body,56
user_6,30,Female,177,55,Expert,Tone body,5,Calisthenics,"Outdoor park, Minimal equipment",Calves,23
user_7,41,Female,185,91,Expert,Injury recovery,4,Swimming,"Kettlebells, Outdoor park, Machine",Triceps,59
user_8,28,Other,175,76,Intermediate,Build muscle,4,Dance,"Barbell, Dumbbell, Outdoor park",Shoulders,72
user_9,40,Female,190,62,Beginner,Injury recovery,2,Olympic weightlifting,"Minimal equipment, Cable",Hamstrings,44
user_10,43,Male,175,72,Beginner,Tone body,5,Powerlifting,Body Only,Lower body,83
user_11,36,Male,169,92,Intermediate,Gain mass,4,Functional training,"Full gym, Machine",Legs,58
user_12,18,Male,158,90,Intermediate,Improve strength,5,Bodyweight training,Machine,Back,26
user_13,35,Other,178,77,Intermediate,Tone body,4,HIIT High Intensity Interval Training,"Dumbbell, Minimal equipment",Upper body,43
user_14,26,Male,173,90,Intermediate,Build muscle,2,Functional training,"Home gym, Outdoor park, Barbell",Arms,26
user_15,26,Male,195,59,Expert,Weight loss,3,Cardio running,"Dumbbell, Barbell, Bodyweight",Upper body,31
user_16,28,Female,198,50,Beginner,General health,3,HIIT High Intensity Interval Training,Body Only,Biceps,82
user_17,54,Female,155,77,Expert,Injury recovery,4,Powerlifting,"Dumbbell, Outdoor park, Kettlebells",Calves,51
user_18,46,Female,181,70,Expert,Improve strength,2,Powerlifting,Home gym,Upper body,79
user_19,24,Male,168,92,Intermediate,Improve cardio,1,Yoga,"Cable, Outdoor park, Body Only",Arms,55
user_20,18,Male,198,94,Expert,Lose fat,5,Cardio rowing,"Minimal equipment, Kettlebells, Dumbbell",Abs,50
user_21,19,Female,180,71,Expert,Gain mass,4,Martial arts,Outdoor park,Hamstrings,85
user_22,28,Female,164,78,Expert,Rehabilitation,3,Olympic weightlifting,"Body Only, Barbell, Home gym",Triceps,62
user_23,18,Other,169,57,Beginner,Weight loss,3,HIIT High Intensity Interval Training,"None, Bodyweight, Cable",Lower body,84
user_24,40,Other,174,84,Intermediate,Prepare for event,3,Cardio running,Outdoor park,Full body,35
user_25,41,Male,196,87,Beginner,Lose fat,5,Swimming,Bodyweight,Abs,54
user_26,54,Male,177,69,Expert,Improve cardio,2,Martial arts,"None, Bands",Calves,87
user_27,36,Male,156,95,Intermediate,Rehabilitation,5,Cardio running,"Body Only, Kettlebells, Machine",No specific focus,52
user_28,31,Other,190,51,Intermediate,Increase endurance,3,Cardio cycling,Minimal equipment,Glutes,72
user_29,39,Other,197,86,Expert,Build muscle,4,Cardio running,Machine,Abs,58
user_30,49,Male,168,94,Expert,Weight loss,1,Dance,Machine,Abs,78
user_31,19,Female,186,87,Intermediate,Sports performance,3,Zumba,"Bands, None, Bodyweight",Full body,80
user_32,38,Other,152,85,Beginner,Weight loss,2,Calisthenics,Body Only,Glutes,41
user_33,33,Other,160,54,Intermediate,Body recomposition,5,Dance,Kettlebells,Legs,23
user_34,41,Male,177,69,Beginner,Improve flexibility,2,Swimming,"Bodyweight, Dumbbell, Minimal equipment",Biceps,51
user_35,47,Other,197,58,Expert,General health,5,Circuit training,"Bodyweight, Home gym, None",Biceps,31
user_36,53,Male,168,88,Expert,Rehabilitation,5,Circuit training,"Bodyweight, Kettlebells",Hamstrings,26
user_37,39,Other,160,76,Expert,Increase endurance,2,Cardio cycling,Cable,Calves,51
